InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/10 8:45,3.75,12583.0,France
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/10 8:45,3.75,12583.0,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/10 8:45,3.75,12583.0,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/10 8:45,0.85,12583.0,France
536370,21883,STARS GIFT TAPE ,24,12/1/10 8:45,0.65,12583.0,France
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/10 8:45,0.85,12583.0,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/10 8:45,1.25,12583.0,France
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/10 8:45,2.95,12583.0,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/10 8:45,2.95,12583.0,France
536370,22629,SPACEBOY LUNCH BOX ,24,12/1/10 8:45,1.95,12583.0,France
536370,22659,LUNCH BOX I LOVE LONDON,24,12/1/10 8:45,1.95,12583.0,France
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12/1/10 8:45,1.95,12583.0,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/10 8:45,0.85,12583.0,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/10 8:45,1.65,12583.0,France
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/10 8:45,2.95,12583.0,France
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/10 8:45,3.75,12583.0,France
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/10 8:45,0.42,12583.0,France
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/10 8:45,0.42,12583.0,France
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/10 8:45,0.65,12583.0,France
536370,POST,POSTAGE,3,12/1/10 8:45,18.0,12583.0,France
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,12/1/10 10:03,8.5,12431.0,Australia
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,12/1/10 10:03,4.95,12431.0,Australia
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/1/10 10:03,1.25,12431.0,Australia
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,12/1/10 10:03,5.45,12431.0,Australia
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,12/1/10 10:03,6.35,12431.0,Australia
536389,85014B,RED RETROSPOT UMBRELLA,6,12/1/10 10:03,5.95,12431.0,Australia
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,12/1/10 10:03,5.95,12431.0,Australia
536389,22193,RED DINER WALL CLOCK,2,12/1/10 10:03,8.5,12431.0,Australia
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/10 10:03,3.75,12431.0,Australia
536389,22727,ALARM CLOCK BAKELIKE RED ,4,12/1/10 10:03,3.75,12431.0,Australia
536389,22192,BLUE DINER WALL CLOCK,2,12/1/10 10:03,8.5,12431.0,Australia
536389,22191,IVORY DINER WALL CLOCK,2,12/1/10 10:03,8.5,12431.0,Australia
536389,22195,LARGE HEART MEASURING SPOONS,24,12/1/10 10:03,1.65,12431.0,Australia
536389,22196,SMALL HEART MEASURING SPOONS,24,12/1/10 10:03,0.85,12431.0,Australia
536403,22867,HAND WARMER BIRD DESIGN,96,12/1/10 11:27,1.85,12791.0,Netherlands
536403,POST,POSTAGE,1,12/1/10 11:27,15.0,12791.0,Netherlands
536527,22809,SET OF 6 T-LIGHTS SANTA,6,12/1/10 13:04,2.95,12662.0,Germany
536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/1/10 13:04,2.55,12662.0,Germany
536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/1/10 13:04,0.85,12662.0,Germany
536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/10 13:04,1.65,12662.0,Germany
536527,22244,3 HOOK HANGER MAGIC GARDEN,12,12/1/10 13:04,1.95,12662.0,Germany
536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/1/10 13:04,1.65,12662.0,Germany
536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/10 13:04,0.42,12662.0,Germany
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/10 13:04,1.95,12662.0,Germany
536527,20713,JUMBO BAG OWLS,10,12/1/10 13:04,1.95,12662.0,Germany
536527,22837,HOT WATER BOTTLE BABUSHKA ,4,12/1/10 13:04,4.65,12662.0,Germany
536527,22969,HOMEMADE JAM SCENTED CANDLES,12,12/1/10 13:04,1.45,12662.0,Germany
536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,12/1/10 13:04,1.65,12662.0,Germany
536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/1/10 13:04,1.25,12662.0,Germany
536527,22549,PICTURE DOMINOES,12,12/1/10 13:04,1.45,12662.0,Germany
536527,POST,POSTAGE,1,12/1/10 13:04,18.0,12662.0,Germany
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,12/1/10 13:24,0.42,12433.0,Norway
536532,22444,GROW YOUR OWN PLANT IN A CAN ,96,12/1/10 13:24,1.06,12433.0,Norway
536532,22899,CHILDREN'S APRON DOLLY GIRL ,8,12/1/10 13:24,2.1,12433.0,Norway
536532,21156,RETROSPOT CHILDRENS APRON,8,12/1/10 13:24,1.95,12433.0,Norway
536532,22556,PLASTERS IN TIN CIRCUS PARADE ,24,12/1/10 13:24,1.65,12433.0,Norway
536532,22555,PLASTERS IN TIN STRONGMAN,36,12/1/10 13:24,1.65,12433.0,Norway
536532,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,12/1/10 13:24,1.65,12433.0,Norway
536532,22553,PLASTERS IN TIN SKULLS,24,12/1/10 13:24,1.65,12433.0,Norway
536532,22551,PLASTERS IN TIN SPACEBOY,24,12/1/10 13:24,1.65,12433.0,Norway
536532,22547,MINI JIGSAW DINOSAUR ,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22544,MINI JIGSAW SPACEBOY,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22543,MINI JIGSAW BAKE A CAKE ,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22539,MINI JIGSAW DOLLY GIRL,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22534,MAGIC DRAWING SLATE SPACEBOY ,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22530,MAGIC DRAWING SLATE DOLLY GIRL ,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22561,WOODEN SCHOOL COLOURING SET,24,12/1/10 13:24,1.65,12433.0,Norway
536532,22489,PACK OF 12 TRADITIONAL CRAYONS,24,12/1/10 13:24,0.42,12433.0,Norway
536532,22814,CARD PARTY GAMES ,12,12/1/10 13:24,0.42,12433.0,Norway
536532,21520,BOOZE & WOMEN GREETING CARD ,12,12/1/10 13:24,0.42,12433.0,Norway
536532,21506,"FANCY FONT BIRTHDAY CARD, ",12,12/1/10 13:24,0.42,12433.0,Norway
536532,22716,CARD CIRCUS PARADE,12,12/1/10 13:24,0.42,12433.0,Norway
536532,22866,HAND WARMER SCOTTY DOG DESIGN,12,12/1/10 13:24,2.1,12433.0,Norway
536532,22632,HAND WARMER RED RETROSPOT,12,12/1/10 13:24,2.1,12433.0,Norway
536532,22865,HAND WARMER OWL DESIGN,12,12/1/10 13:24,2.1,12433.0,Norway
